method,model,cv,threshold_type,pr_auc,pr_auc_std,f1_fail,f1_fail_std,recall_fail,recall_fail_std,precision_fail,precision_fail_std,accuracy,opt_threshold
Default,LogisticRegression,TimeSeriesSplit,default,0.1274,0.0808,0.0955,0.0934,0.1677,0.1137,0.1014,0.1382,0.8391,0.2359
Default,LogisticRegression,TimeSeriesSplit,optimal,0.1274,0.0808,0.2258,0.1064,0.5711,0.1867,0.1909,0.1395,0.6828,0.2359
Default,LogisticRegression,StratifiedKFold,default,0.1504,0.0252,0.1493,0.0367,0.1538,0.0465,0.1464,0.0306,0.8851,0.0964
Default,LogisticRegression,StratifiedKFold,optimal,0.1504,0.0252,0.2256,0.0213,0.4981,0.1324,0.1559,0.0397,0.7646,0.0964
Default,RandomForest,TimeSeriesSplit,default,0.1453,0.0845,0.0,0.0,0.0,0.0,0.0,0.0,0.9502,0.229
Default,RandomForest,TimeSeriesSplit,optimal,0.1453,0.0845,0.221,0.0929,0.3581,0.1957,0.3436,0.3424,0.8138,0.229
Default,RandomForest,StratifiedKFold,default,0.18,0.0404,0.0,0.0,0.0,0.0,0.0,0.0,0.9336,0.183
Default,RandomForest,StratifiedKFold,optimal,0.18,0.0404,0.3025,0.0499,0.3933,0.1469,0.2894,0.1037,0.88,0.183
CW_Balanced,LogisticRegression,TimeSeriesSplit,default,0.119,0.0671,0.1051,0.0945,0.2093,0.1144,0.0852,0.095,0.813,0.2707
CW_Balanced,LogisticRegression,TimeSeriesSplit,optimal,0.119,0.0671,0.2206,0.1003,0.5711,0.1867,0.1815,0.1317,0.6843,0.2707
CW_Balanced,LogisticRegression,StratifiedKFold,default,0.1491,0.0211,0.1545,0.0553,0.2124,0.0745,0.1226,0.045,0.8443,0.3367
CW_Balanced,LogisticRegression,StratifiedKFold,optimal,0.1491,0.0211,0.2274,0.0243,0.4695,0.1573,0.1662,0.0468,0.778,0.3367
CW_Balanced,RandomForest,TimeSeriesSplit,default,0.0949,0.0449,0.0,0.0,0.0,0.0,0.0,0.0,0.9502,0.113
CW_Balanced,RandomForest,TimeSeriesSplit,optimal,0.0949,0.0449,0.193,0.0993,0.3809,0.1339,0.1573,0.1029,0.787,0.113
CW_Balanced,RandomForest,StratifiedKFold,default,0.1618,0.0213,0.0,0.0,0.0,0.0,0.0,0.0,0.9336,0.108
CW_Balanced,RandomForest,StratifiedKFold,optimal,0.1618,0.0213,0.2676,0.0122,0.4314,0.091,0.198,0.0094,0.8443,0.108
SMOTE,LogisticRegression,TimeSeriesSplit,default,0.121,0.0682,0.0952,0.0758,0.195,0.1083,0.0788,0.0813,0.8153,0.4692
SMOTE,LogisticRegression,TimeSeriesSplit,optimal,0.121,0.0682,0.2326,0.1163,0.4802,0.2343,0.2145,0.1684,0.7326,0.4692
SMOTE,LogisticRegression,StratifiedKFold,default,0.1421,0.0231,0.1567,0.0566,0.2124,0.0745,0.1248,0.0461,0.8475,0.2965
SMOTE,LogisticRegression,StratifiedKFold,optimal,0.1421,0.0231,0.22,0.0225,0.4695,0.1573,0.1585,0.0432,0.7671,0.2965
SMOTE,RandomForest,TimeSeriesSplit,default,0.0988,0.0499,0.0,0.0,0.0,0.0,0.0,0.0,0.9502,0.246
SMOTE,RandomForest,TimeSeriesSplit,optimal,0.0988,0.0499,0.1808,0.0649,0.3337,0.0903,0.1325,0.0553,0.8483,0.246
SMOTE,RandomForest,StratifiedKFold,default,0.1808,0.0181,0.0538,0.0439,0.029,0.0237,0.4667,0.4522,0.933,0.252
SMOTE,RandomForest,StratifiedKFold,optimal,0.1808,0.0181,0.2746,0.0281,0.5557,0.1279,0.1879,0.0271,0.8016,0.252
ADASYN,LogisticRegression,TimeSeriesSplit,default,0.1206,0.0684,0.0891,0.0807,0.1768,0.1089,0.0805,0.098,0.8176,0.2746
ADASYN,LogisticRegression,TimeSeriesSplit,optimal,0.1206,0.0684,0.2285,0.1144,0.6311,0.2544,0.2035,0.1686,0.6437,0.2746
ADASYN,LogisticRegression,StratifiedKFold,default,0.1401,0.0196,0.1553,0.0512,0.2124,0.0745,0.1232,0.0392,0.8481,0.2884
ADASYN,LogisticRegression,StratifiedKFold,optimal,0.1401,0.0196,0.2153,0.0251,0.46,0.1492,0.1543,0.0435,0.7659,0.2884
ADASYN,RandomForest,TimeSeriesSplit,default,0.1287,0.0857,0.0,0.0,0.0,0.0,0.0,0.0,0.9502,0.253
ADASYN,RandomForest,TimeSeriesSplit,optimal,0.1287,0.0857,0.2167,0.1005,0.3504,0.1256,0.2141,0.1955,0.8429,0.253
ADASYN,RandomForest,StratifiedKFold,default,0.1794,0.0275,0.016,0.032,0.01,0.02,0.04,0.08,0.9304,0.257
ADASYN,RandomForest,StratifiedKFold,optimal,0.1794,0.0275,0.2745,0.0308,0.46,0.1188,0.2081,0.0486,0.8348,0.257
RUS,LogisticRegression,TimeSeriesSplit,default,0.078,0.0368,0.1123,0.0708,0.504,0.2406,0.065,0.0435,0.6153,0.5671
RUS,LogisticRegression,TimeSeriesSplit,optimal,0.078,0.0368,0.1749,0.0576,0.6256,0.2909,0.1107,0.043,0.5831,0.5671
RUS,LogisticRegression,StratifiedKFold,default,0.1504,0.0455,0.1598,0.0294,0.5386,0.1103,0.0939,0.0172,0.6242,0.8686
RUS,LogisticRegression,StratifiedKFold,optimal,0.1504,0.0455,0.2292,0.0352,0.3771,0.1732,0.224,0.1126,0.8194,0.8686
RUS,RandomForest,TimeSeriesSplit,default,0.0961,0.0509,0.0792,0.0665,0.2621,0.2627,0.0483,0.0401,0.7088,0.467
RUS,RandomForest,TimeSeriesSplit,optimal,0.0961,0.0509,0.1459,0.0559,0.6527,0.3808,0.2704,0.368,0.5042,0.467
RUS,RandomForest,StratifiedKFold,default,0.171,0.0275,0.1923,0.0227,0.6152,0.0855,0.114,0.0131,0.6579,0.605
RUS,RandomForest,StratifiedKFold,optimal,0.171,0.0275,0.2577,0.0261,0.3271,0.0879,0.2246,0.0345,0.8749,0.605
SMOTE+RUS,LogisticRegression,TimeSeriesSplit,default,0.1491,0.1179,0.0929,0.0711,0.2526,0.1295,0.0604,0.0515,0.7762,0.4561
SMOTE+RUS,LogisticRegression,TimeSeriesSplit,optimal,0.1491,0.1179,0.2361,0.1468,0.4843,0.1888,0.3302,0.3622,0.6958,0.4561
SMOTE+RUS,LogisticRegression,StratifiedKFold,default,0.1403,0.0234,0.1565,0.0571,0.27,0.1092,0.1106,0.0386,0.8118,0.3024
SMOTE+RUS,LogisticRegression,StratifiedKFold,optimal,0.1403,0.0234,0.2438,0.0537,0.5095,0.1102,0.1796,0.0816,0.7672,0.3024
SMOTE+RUS,RandomForest,TimeSeriesSplit,default,0.0976,0.0416,0.0105,0.0211,0.0091,0.0182,0.0125,0.025,0.9395,0.33
SMOTE+RUS,RandomForest,TimeSeriesSplit,optimal,0.0976,0.0416,0.196,0.0777,0.3337,0.1621,0.15,0.0708,0.8437,0.33
SMOTE+RUS,RandomForest,StratifiedKFold,default,0.166,0.0152,0.0845,0.0477,0.0581,0.0367,0.1974,0.1139,0.9221,0.324
